"Functions of online sequencer - When clicking notes on the sequencer, I can immediately hear the sound.",Functions of online sequencer - I think the sound is on a accurate tempo when sound is playing.,Functions of online sequencer - I think the pointer (orange triangle) is on a accurate tempo when sound is playing.,Functions of online sequencer - I think the sound progression is acceptable when sound is playing.,Functions of online sequencer - I think the loading time of changing instrument is acceptable.,"Functions of online sequencer - When spinning the volume knob, I can feel the volume change.",Functions of online sequencer - I think the loading time is acceptable when the sound is being saved.,"Functions of online sequencer - Generally, I think functions on this page(sequencer) are stable."
Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral
Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral
Agree,Agree,Agree,Disagree ,Agree,Agree,Agree,Strongly Agree
Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree ,Strongly Agree,Neutral,Neutral
Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree
Strongly Agree,Neutral,Agree,Agree,Disagree ,Neutral,Neutral,Agree
0.625,0.5,0.375,0.25,0,0.375,0,0.25
0.375,0.375,0.625,0.375,0.5,0.5,0.5,0.375
0,0.125,0,0.25,0.25,0.125,0.5,0.375
0,0,0,0.125,0.25,0,0,0
0,0,0,0,0,0,0,0
,,,,,,,
Strongly agree,0.296875,,,,,,
Agree,0.453125,,,,,,
Neutral,0.203125,,,,,,
Disagree,0.046875,,,,,,
Strongly disagree,0,,,,,,
,,,,,,,
Sound adjustment and mixing  (Please wear a headphone when answering questions)  - I think the sound is harmonious when tracks are playing.,Sound adjustment and mixing  (Please wear a headphone when answering questions)  - I think the sound is acceptable when tracks are playing.,"Sound adjustment and mixing  (Please wear a headphone when answering questions)  - When spinning the volume knob, I can feel the volume change.","Sound adjustment and mixing  (Please wear a headphone when answering questions)  - When spinning the reverb knob, I can feel the reverb effect.","Sound adjustment and mixing  (Please wear a headphone when answering questions)  - When spinning the low-shelf knob, I can feel bass and treble get a boost   ","Sound adjustment and mixing  (Please wear a headphone when answering questions)  - When spinning knobs, I think the quality of sound is acceptable.",Sound adjustment and mixing  (Please wear a headphone when answering questions)  - I think the loading time is acceptable when mixing (exporting) the sound.,Sound adjustment and mixing  (Please wear a headphone when answering questions)  - I think the exporting sound is not different from the original sound.
Agree,Agree,Agree,Agree,Agree,disagree,Neutral ,Strongly agree
disagree,Neutral ,Strongly agree,Strongly agree,Strongly agree,disagree,Agree,Neutral 
Neutral ,Neutral ,Strongly agree,Agree,Agree,Neutral ,Agree,Strongly agree
Agree,Agree,Agree,Neutral ,Strongly agree,Neutral ,Agree,Agree
disagree,Neutral ,Strongly agree,Agree,Agree,Agree,Agree,Agree
Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Agree,Neutral ,Agree,Agree,Strongly agree,Neutral ,Neutral ,Agree
Agree,Agree,Agree,Agree,Agree,Agree,Neutral ,Agree
0,0,0.375,0.125,0.375,0,0,0.25
0.625,0.5,0.625,0.75,0.625,0.375,0.625,0.625
0.125,0.5,0,0.125,0,0.375,0.375,0.125
0.25,0,0,0,0,0.25,0,0
0,0,0,0,0,0,0,0
Strongly agree,0.140625,,,,,,
Agree,0.59375,,,,,,
Neutral,0.203125,,,,,,
Disagree,0.0625,,,,,,
Strongly disagree,0,,,,,,
